cwe_id,cve_id,lang,project,ref_link,vulnerability_classification
CWE-264,CVE-2011-4127,C,linux,https://github.com/torvalds/linux/commit/ec8013beddd717d1740cfefb1a9b900deef85462,Bypass 
CWE-264,CVE-2011-4112,C,linux,https://github.com/torvalds/linux/commit/550fd08c2cebad61c548def135f67aba284c6162,DoS 
CWE-189,CVE-2011-4097,C,linux,https://github.com/torvalds/linux/commit/56c6a8a4aadca809e04276eabe5552935c51387f,DoS Overflow 
CWE-119,CVE-2011-4086,C,linux,https://github.com/torvalds/linux/commit/15291164b22a357cb211b618adfef4fa82fc0de3,DoS Overflow 
,CVE-2011-4081,C,linux,https://github.com/torvalds/linux/commit/7ed47b7d142ec99ad6880bbbec51e9f12b3af74c,DoS 
CWE-264,CVE-2011-4080,C,linux,https://github.com/torvalds/linux/commit/bfdc0b497faa82a0ba2f9dddcf109231dd519fcc,Bypass 
CWE-20,CVE-2011-3637,C,linux,https://github.com/torvalds/linux/commit/76597cd31470fa130784c78fadb4dab2e624a723,DoS 
CWE-20,CVE-2011-3363,C,linux,https://github.com/torvalds/linux/commit/70945643722ffeac779d2529a348f99567fa5c33,DoS 
CWE-119,CVE-2011-3359,C,linux,https://github.com/torvalds/linux/commit/c85ce65ecac078ab1a1835c87c4a6319cf74660a,DoS Overflow 
CWE-119,CVE-2011-3353,C,linux,https://github.com/torvalds/linux/commit/c2183d1e9b3f313dd8ba2b1b0197c8d9fb86a7ae,DoS Overflow 
CWE-189,CVE-2011-3209,C,linux,https://github.com/torvalds/linux/commit/f8bd2258e2d520dff28c855658bd24bdafb5102d,DoS 
CWE-189,CVE-2011-3191,C,linux,https://github.com/torvalds/linux/commit/9438fabb73eb48055b58b89fc51e0bc4db22fabd,DoS Mem. Corr. 
,CVE-2011-3188,C,linux,https://github.com/torvalds/linux/commit/6e5714eaf77d79ae1c8b47e3e040ff5411b717ec,DoS 
CWE-399,CVE-2011-2918,C,linux,https://github.com/torvalds/linux/commit/a8b0ca17b80e92faab46ee7179ba9e99ccb61233,DoS Overflow 
CWE-189,CVE-2011-2906,C,linux,https://github.com/torvalds/linux/commit/b5b515445f4f5a905c5dd27e6e682868ccd6c09d,DoS Mem. Corr. 
CWE-264,CVE-2011-2898,C,linux,https://github.com/torvalds/linux/commit/13fcb7bd322164c67926ffe272846d4860196dc6,+Info 
CWE-20,CVE-2011-2707,C,linux,https://github.com/torvalds/linux/commit/0d0138ebe24b94065580bd2601f8bb7eb6152f56,+Info 
,CVE-2011-2699,C,linux,https://github.com/torvalds/linux/commit/87c48fa3b4630905f98268dde838ee43626a060c,DoS 
CWE-189,CVE-2011-2521,C,linux,https://github.com/torvalds/linux/commit/fc66c5210ec2539e800e87d7b3a985323c7be96e,DoS 
CWE-20,CVE-2011-2518,C,linux,https://github.com/torvalds/linux/commit/4e78c724d47e2342aa8fde61f6b8536f662f795f,DoS 
CWE-119,CVE-2011-2517,C,linux,https://github.com/torvalds/linux/commit/208c72f4fe44fe09577e7975ba0e7fa0278f3d03,Overflow +Priv 
CWE-189,CVE-2011-2496,C,linux,https://github.com/torvalds/linux/commit/982134ba62618c2d69fbbbd166d0a11ee3b7e3d8,DoS Overflow 
CWE-264,CVE-2011-2495,C,linux,https://github.com/torvalds/linux/commit/1d1221f375c94ef961ba8574ac4f85c8870ddd51,
CWE-200,CVE-2011-2494,C,linux,https://github.com/torvalds/linux/commit/1a51410abe7d0ee4b1d112780f46df87d3621043,+Info 
,CVE-2011-2493,C,linux,https://github.com/torvalds/linux/commit/0449641130f5652b344ef6fa39fa019d7e94660a,DoS 
CWE-264,CVE-2011-2486,C,nspluginwrapper,https://github.com/davidben/nspluginwrapper/commit/7e4ab8e1189846041f955e6c83f72bc1624e7a98,Bypass 
CWE-264,CVE-2011-2211,C,linux,https://github.com/torvalds/linux/commit/21c5977a836e399fc710ff2c5367845ed5c2527f,+Priv 
CWE-362,CVE-2011-2183,C,linux,https://github.com/torvalds/linux/commit/2b472611a32a72f4a118c069c2d62a1a3f087afd,DoS 
CWE-119,CVE-2011-2182,C,linux,https://github.com/torvalds/linux/commit/cae13fe4cc3f24820ffb990c09110626837e85d4,Overflow +Priv +Info 
,CVE-2011-1927,C,linux,https://github.com/torvalds/linux/commit/64f3b9e203bd06855072e295557dca1485a2ecba,DoS 
CWE-264,CVE-2011-1833,C,linux,https://github.com/torvalds/linux/commit/764355487ea220fdc2faf128d577d7f679b91f97,Bypass 
CWE-362,CVE-2011-1768,C,linux,https://github.com/torvalds/linux/commit/d5aa407f59f5b83d2c50ec88f5bf56d40f1f8978,DoS 
,CVE-2011-1767,C,linux,https://github.com/torvalds/linux/commit/c2892f02712e9516d72841d5c019ed6916329794,DoS 
CWE-189,CVE-2011-1759,C,linux,https://github.com/torvalds/linux/commit/0f22072ab50cac7983f9660d33974b45184da4f9,DoS Overflow +Priv Mem. Corr. 
CWE-399,CVE-2011-1479,C,linux,https://github.com/torvalds/linux/commit/d0de4dc584ec6aa3b26fffea320a8457827768fc,DoS 
CWE-119,CVE-2011-1477,C,linux,https://github.com/torvalds/linux/commit/4d00135a680727f6c3be78f8befaac009030e4df,DoS Overflow +Priv Mem. Corr. 
CWE-189,CVE-2011-1476,C,linux,https://github.com/torvalds/linux/commit/b769f49463711205d57286e64cf535ed4daf59e9,DoS Mem. Corr. 
CWE-200,CVE-2011-1160,C,linux,https://github.com/torvalds/linux/commit/1309d7afbed112f0e8e90be9af975550caa0076b,+Info 
CWE-20,CVE-2011-1080,C,linux,https://github.com/torvalds/linux/commit/d846f71195d57b0bbb143382647c2c6638b04c5a,+Info 
CWE-20,CVE-2011-1079,C,linux,https://github.com/torvalds/linux/commit/43629f8f5ea32a998d06d1bb41eefa0e821ff573,DoS +Info 
CWE-200,CVE-2011-1078,C,linux,https://github.com/torvalds/linux/commit/c4c896e1471aec3b004a693c689f60be3b17ac86,+Info 
,CVE-2011-1023,C,linux,https://github.com/torvalds/linux/commit/6094628bfd94323fc1cea05ec2c6affd98c18f7f,DoS 
CWE-264,CVE-2011-1021,C,linux,https://github.com/torvalds/linux/commit/526b4af47f44148c9d665e57723ed9f86634c6e3,
CWE-399,CVE-2011-0716,C,linux,https://github.com/torvalds/linux/commit/6b0d6a9b4296fa16a28d10d416db7a770fc03287,DoS Mem. Corr. 
CWE-264,CVE-2011-0006,C,linux,https://github.com/torvalds/linux/commit/867c20265459d30a01b021a9c1e81fb4c5832aa9,Bypass 
CWE-119,CVE-2010-4650,C,linux,https://github.com/torvalds/linux/commit/7572777eef78ebdee1ecb7c258c0ef94d35bad16,DoS Overflow 
,CVE-2010-4648,C,linux,https://github.com/torvalds/linux/commit/0a54917c3fc295cb61f3fb52373c173fd3b69f48,
CWE-399,CVE-2010-4250,C,linux,https://github.com/torvalds/linux/commit/a2ae4cc9a16e211c8a128ba10d22a85431f093ab,DoS 
CWE-119,CVE-2013-7027,C,linux,https://github.com/torvalds/linux/commit/f5563318ff1bde15b10e736e97ffce13be08bc1a,DoS Overflow 
CWE-362,CVE-2013-7026,C,linux,https://github.com/torvalds/linux/commit/a399b29dfbaaaf91162b2dc5a5875dd51bbfa2a1,DoS 
CWE-119,CVE-2013-7024,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/fe448cd28d674c3eff3072552eae366d0b659ce9,DoS Overflow 
CWE-119,CVE-2013-7023,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/f31011e9abfb2ae75bb32bc44e2c34194c8dc40a,DoS Overflow 
CWE-119,CVE-2013-7022,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/e07ac727c1cc9eed39e7f9117c97006f719864bd,DoS Overflow 
CWE-399,CVE-2013-7021,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/cdd5df8189ff1537f7abe8defe971f80602cc2d2,DoS 
CWE-119,CVE-2013-7020,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/b05cd1ea7e45a836f7f6071a716c38bb30326e0f,DoS Overflow 
CWE-20,CVE-2013-7019,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/a1b9004b768bef606ee98d417bceb9392ceb788d,DoS 
CWE-119,CVE-2013-7018,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/9a271a9368eaabf99e6c2046103acb33957e63b7,DoS Overflow 
,CVE-2013-7017,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/912ce9dd2080c5837285a471d750fa311e09b555,DoS 
CWE-119,CVE-2013-7016,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/8bb11c3ca77b52e05a9ed1496a65f8a76e6e2d8f,DoS Overflow 
CWE-20,CVE-2013-7015,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/880c73cd76109697447fbfbaa8e5ee5683309446,DoS 
CWE-189,CVE-2013-7014,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/86736f59d6a527d8bc807d09b93f971c0fe0bb07,DoS 
CWE-189,CVE-2013-7013,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/821a5938d100458f4d09d634041b05c860554ce0,DoS 
CWE-119,CVE-2013-7012,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/780669ef7c23c00836a24921fcc6b03be2b8ca4a,DoS Overflow 
CWE-119,CVE-2013-7011,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/547d690d676064069d44703a1917e0dab7e33445,DoS Overflow 
CWE-189,CVE-2013-7010,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/454a11a1c9c686c78aa97954306fb63453299760,DoS 
CWE-119,CVE-2013-7009,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/3819db745da2ac7fb3faacb116788c32f4753f34,DoS Overflow 
,CVE-2013-7008,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/29ffeef5e73b8f41ff3a3f2242d356759c66f91f,DoS 
,CVE-2013-6800,C,krb5,https://github.com/krb5/krb5/commit/c2ccf4197f697c4ff143b8a786acdd875e70a89d,DoS 
CWE-119,CVE-2013-6763,C,linux,https://github.com/torvalds/linux/commit/7314e613d5ff9f0934f7a0f74ed7973b903315d1,DoS Overflow +Priv Mem. Corr. 
,CVE-2013-6432,C,linux,https://github.com/torvalds/linux/commit/cf970c002d270c36202bd5b9c2804d3097a52da0,DoS 
CWE-264,CVE-2013-6431,C,linux,https://github.com/torvalds/linux/commit/ae7b4e1f213aa659aedf9c6ecad0bf5f0476e1e2,DoS 
CWE-264,CVE-2013-6404,C++,quassel,https://github.com/quassel/quassel/commit/a1a24da,
CWE-264,CVE-2013-6383,C,linux,https://github.com/torvalds/linux/commit/f856567b930dfcdbc3323261bf77240ccdde01f5,Bypass 
CWE-119,CVE-2013-6381,C,linux,https://github.com/torvalds/linux/commit/6fb392b1a63ae36c31f62bc3fc8630b49d602b62,DoS Overflow 
CWE-20,CVE-2013-6380,C,linux,https://github.com/torvalds/linux/commit/b4789b8e6be3151a955ade74872822f30e8cd914,DoS 
CWE-189,CVE-2013-6378,C,linux,https://github.com/torvalds/linux/commit/a497e47d4aec37aaf8f13509f3ef3d1f6a717d88,DoS 
CWE-189,CVE-2013-6376,C,linux,https://github.com/torvalds/linux/commit/17d68b763f09a9ce824ae23eb62c9efc57b69271,DoS 
CWE-20,CVE-2013-6368,C,linux,https://github.com/torvalds/linux/commit/fda4e2e85589191b123d31cdc21fd33ee70f50fd,DoS +Priv 
CWE-189,CVE-2013-6367,C,linux,https://github.com/torvalds/linux/commit/b963a22e6d1a266a67e9eecc88134713fd54775c,DoS 
CWE-20,CVE-2013-6282,C,linux,https://github.com/torvalds/linux/commit/8404663f81d212918ff85f493649a7991209fa04,
CWE-399,CVE-2013-5634,C,linux,https://github.com/torvalds/linux/commit/e8180dcaa8470ceca21109f143876fdcd9fe050a,DoS 
CWE-20,CVE-2013-4623,C,polarssl,https://github.com/polarssl/polarssl/commit/1922a4e6aade7b1d685af19d4d9339ddb5c02859,DoS 
CWE-399,CVE-2013-4592,C,linux,https://github.com/torvalds/linux/commit/12d6e7538e2d418c08f082b1b44ffa5fb7270ed8,DoS 
CWE-119,CVE-2013-4591,C,linux,https://github.com/torvalds/linux/commit/7d3e91a89b7adbc2831334def9e494dd9892f9af,DoS Overflow Mem. Corr. 
CWE-119,CVE-2013-4588,C,linux,https://github.com/torvalds/linux/commit/04bcef2a83f40c6db24222b27a52892cba39dffb,Overflow +Priv 
CWE-20,CVE-2013-4587,C,linux,https://github.com/torvalds/linux/commit/338c7dbadd2671189cec7faf64c84d01071b3f96,+Priv 
CWE-189,CVE-2013-4563,C,linux,https://github.com/torvalds/linux/commit/0e033e04c2678dbbe74a46b23fffb7bb918c288e,DoS 
CWE-200,CVE-2013-4516,C,linux,https://github.com/torvalds/linux/commit/a8b33654b1e3b0c74d4a1fed041c9aae50b3c427,+Info 
CWE-200,CVE-2013-4515,C,linux,https://github.com/torvalds/linux/commit/8d1e72250c847fa96498ec029891de4dc638a5ba,+Info 
CWE-119,CVE-2013-4514,C,linux,https://github.com/torvalds/linux/commit/b5e2f339865fb443107e5b10603e53bbc92dc054,DoS Overflow 
CWE-119,CVE-2013-4513,C,linux,https://github.com/torvalds/linux/commit/c2c65cd2e14ada6de44cb527e7f1990bede24e15,DoS Overflow 
CWE-119,CVE-2013-4512,C,linux,https://github.com/torvalds/linux/commit/201f99f170df14ba52ea4c52847779042b7a623b,DoS Overflow 
CWE-189,CVE-2013-4483,C,linux,https://github.com/torvalds/linux/commit/6062a8dc0517bce23e3c2f7d2fea5e22411269a3,DoS 
CWE-264,CVE-2013-4470,C,linux,https://github.com/torvalds/linux/commit/e93b7d748be887cd7639b113ba7d7ef792a7efb9,DoS +Priv Mem. Corr. 
CWE-119,CVE-2013-4387,C,linux,https://github.com/torvalds/linux/commit/2811ebac2521ceac84f2bdae402455baa6a7fb47,DoS Overflow Mem. Corr. 
CWE-310,CVE-2013-4350,C,linux,https://github.com/torvalds/linux/commit/95ee62083cb6453e056562d91f597552021e6ae7,+Info 
CWE-264,CVE-2013-4300,C,linux,https://github.com/torvalds/linux/commit/d661684cf6820331feae71146c35da83d794467e,+Priv 
CWE-264,CVE-2013-4299,C,linux,https://github.com/torvalds/linux/commit/e9c6a182649f4259db704ae15a91ac820e63b0ca,+Info 
CWE-20,CVE-2013-4270,C,linux,https://github.com/torvalds/linux/commit/2433c8f094a008895e66f25bd1773cdb01c91d01,Bypass 
,CVE-2013-4265,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/c94f9e854228e0ea00e1de8769d8d3f7cab84a55,
CWE-119,CVE-2013-4264,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/2960576378d17d71cc8dccc926352ce568b5eec1,DoS Overflow 
CWE-119,CVE-2013-4263,C,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/e43a0a232dbf6d3c161823c2e07c52e76227a1bc,Overflow 
CWE-20,CVE-2013-4254,C,linux,https://github.com/torvalds/linux/commit/c95eb3184ea1a3a2551df57190c81da695e2144b,DoS +Priv 
CWE-189,CVE-2013-4247,C,linux,https://github.com/torvalds/linux/commit/1fc29bacedeabb278080e31bb9c1ecb49f143c3b,DoS Mem. Corr. 
CWE-119,CVE-2013-4244,C,libtiff,https://github.com/vadz/libtiff/commit/ce6841d9e41d621ba23cf18b190ee6a23b2cc833,DoS Exec Code Overflow 
,CVE-2013-4220,C,linux,https://github.com/torvalds/linux/commit/9955ac47f4ba1c95ecb6092aeaefb40a22e99268,DoS 
CWE-399,CVE-2013-4205,C,linux,https://github.com/torvalds/linux/commit/6160968cee8b90a5dd95318d716e31d7775c4ef3,DoS 
CWE-399,CVE-2013-4163,C,linux,https://github.com/torvalds/linux/commit/75a493e60ac4bbe2e977e7129d6d8cbb0dd236be,DoS 
CWE-399,CVE-2013-4162,C,linux,https://github.com/torvalds/linux/commit/8822b64a0fa64a5dd1dfcf837c5b0be83f8c05d1,DoS 
CWE-59,CVE-2013-4136,C++,passenger,https://github.com/phusion/passenger/commit/5483b3292cc2af1c83033eaaadec20dba4dcfd9b,+Priv 
CWE-20,CVE-2013-4129,C,linux,https://github.com/torvalds/linux/commit/c7e8e8a8f7a70b343ca1e0f90a31e35ab2d16de1,DoS 
CWE-399,CVE-2013-4127,C,linux,https://github.com/torvalds/linux/commit/dd7633ecd553a5e304d349aa6f8eb8a0417098c5,DoS 
CWE-399,CVE-2013-4125,C,linux,https://github.com/torvalds/linux/commit/307f2fb95e9b96b3577916e73d92e104f8f26494,DoS 
CWE-20,CVE-2013-3735,C,php-src,https://github.com/php/php-src/commit/fb58e69a84f4fde603a630d2c9df2fa3be16d846,DoS 
